,year,selling_price,km_driven,mileage,engine,max_power,torque,seats,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
0,2014,450000,145500,23.4,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,False,False,False
1,2014,370000,120000,21.14,1498.0,103.52,250.0,5.0,True,False,False,True,False,True,False,True,False,False
2,2006,158000,140000,17.7,1497.0,78.0,124.46,5.0,False,False,True,True,False,True,False,False,False,True
3,2010,225000,127000,23.0,1396.0,90.0,219.52,5.0,True,False,False,True,False,True,False,False,False,False
4,2007,130000,120000,16.1,1298.0,88.2,112.7,5.0,False,False,True,True,False,True,False,False,False,False
5,2017,440000,45000,20.14,1197.0,81.86,113.75,5.0,False,False,True,True,False,True,False,False,False,False
6,2007,96000,175000,19.41762110224801,1061.0,57.5,76.44,5.0,False,True,False,True,False,True,False,False,False,False
7,2001,45000,5000,16.1,796.0,37.0,59.0,4.0,False,False,True,True,False,True,False,True,False,False
8,2011,350000,90000,23.59,1364.0,67.1,170.0,5.0,True,False,False,True,False,True,False,False,False,False
9,2013,200000,169000,20.0,1399.0,68.1,160.0,5.0,True,False,False,True,False,True,False,False,False,False
10,2014,500000,68000,19.01,1461.0,108.45,248.0,5.0,True,False,False,True,False,True,False,True,False,False
11,2005,92000,100000,17.3,993.0,60.0,78.0,5.0,False,False,True,True,False,True,False,True,False,False
12,2009,280000,140000,19.3,1248.0,73.9,190.0,5.0,True,False,False,True,False,True,False,True,False,False
13,2007,200000,80000,19.41762110224801,1456.711219879518,91.33642205917592,180.71248774355752,5.416917670682731,False,False,True,True,False,True,False,True,False,False
14,2009,180000,90000,18.9,1061.0,67.0,84.0,5.0,False,False,True,True,False,True,False,True,False,False
15,2016,400000,40000,18.15,1198.0,82.0,115.0,5.0,False,False,True,True,False,True,False,False,False,False
16,2016,778000,70000,24.52,1248.0,88.5,200.0,7.0,True,False,False,True,False,True,False,True,False,False
17,2012,500000,53000,23.0,1396.0,90.0,219.52,5.0,True,False,False,True,False,True,False,True,False,False
18,2002,150000,80000,19.7,796.0,46.3,62.0,5.0,False,False,True,True,False,True,False,True,False,False
19,2016,680000,100000,22.54,1396.0,88.73,219.7,5.0,True,False,False,True,False,True,False,False,False,False
20,2011,174000,100000,21.0,1461.0,64.1,160.0,5.0,True,False,False,True,False,True,False,True,False,False
21,2017,950000,50000,25.5,1498.0,98.6,200.0,5.0,True,False,False,True,False,True,False,False,False,False
22,2015,525000,40000,26.59,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,False,False,False
23,2012,600000,72000,21.5,1248.0,88.8,200.0,5.0,True,False,False,True,False,True,False,False,False,False
24,2018,500000,35000,20.3,1199.0,83.81,114.0,5.0,False,False,True,True,False,True,False,False,False,False
25,2016,575000,45000,21.4,1197.0,83.1,115.0,5.0,False,False,True,True,False,True,False,False,False,False
26,2017,275000,28000,24.7,796.0,47.3,69.0,5.0,False,False,True,True,False,True,False,False,False,False
27,2013,300000,70000,18.2,1248.0,73.8,172.5,7.0,True,False,False,True,False,True,False,False,False,False
28,2009,220000,120000,18.9,1061.0,67.0,84.0,5.0,False,False,True,True,False,True,False,False,False,False
29,2018,254999,25000,16.8,796.0,34.2,59.0,8.0,False,False,True,True,False,True,False,False,False,False
30,2017,670000,70000,24.3,1248.0,88.5,200.0,5.0,True,False,False,True,False,True,False,False,False,False
31,2003,70000,50000,19.41762110224801,1456.711219879518,91.33642205917592,180.71248774355752,5.416917670682731,False,False,True,True,False,True,False,True,False,False
32,2012,150000,35000,14.0,796.0,35.0,59.78,5.0,False,False,True,True,False,True,False,True,False,False
33,2018,730000,2388,18.6,1197.0,81.83,114.7,5.0,False,False,True,True,False,True,False,False,False,False
34,2017,650000,16200,24.3,1248.0,88.5,200.0,5.0,True,False,False,True,False,True,False,False,False,False
35,2019,330000,10000,19.41762110224801,796.0,40.3,60.0,4.0,False,False,False,True,False,True,False,True,False,False
36,2019,366000,15000,23.95,998.0,67.1,90.0,5.0,False,False,True,True,False,True,False,False,False,False
37,2019,1149000,5000,17.0,1591.0,121.3,151.0,5.0,False,False,True,True,False,True,False,False,False,False
38,2016,150000,42000,20.63,1198.0,67.0,104.0,5.0,False,False,True,True,False,True,False,False,False,False
39,2011,425000,60000,13.93,2179.0,138.03,320.0,7.0,True,False,False,True,False,True,False,True,False,False
40,2012,150000,76000,16.1,796.0,37.0,59.0,4.0,False,False,True,True,False,True,False,False,False,False
41,2019,2100000,5000,16.0,1368.0,160.77,250.0,5.0,False,False,True,True,False,False,False,False,False,False
42,2018,925000,28900,17.8,1497.0,117.3,145.0,5.0,False,False,True,False,False,True,False,False,False,False
43,2013,425000,86300,16.8,1497.0,116.3,146.0,5.0,False,False,True,False,False,True,False,False,False,False
44,2018,675000,23300,18.5,1197.0,83.14,115.0,5.0,False,False,True,False,False,False,False,False,False,False
45,2018,819999,32600,24.3,1248.0,88.5,200.0,5.0,True,False,False,False,False,True,False,False,False,False
46,2018,390000,10300,23.95,998.0,67.05,90.0,5.0,False,False,True,False,False,True,False,False,False,False
47,2014,1500000,77000,12.55,2982.0,168.5,343.0,7.0,True,False,False,False,False,True,False,False,False,False
48,2013,700000,99000,12.99,2494.0,100.0,200.0,7.0,True,False,False,False,False,True,False,False,False,False
49,2014,1450000,27800,14.8,2143.0,120.7,200.0,5.0,True,False,False,False,False,False,False,True,False,False
50,2015,425000,49800,24.7,1498.0,98.63,200.0,5.0,True,False,False,False,False,True,False,False,False,False
51,2013,1090000,151000,13.5,2477.0,175.56,400.0,7.0,True,False,False,False,False,True,False,False,False,False
52,2015,600000,54700,26.0,1498.0,98.6,200.0,5.0,True,False,False,False,False,True,False,False,False,False
53,2018,850000,64000,20.65,1462.0,103.25,138.0,5.0,False,False,True,False,False,True,False,False,False,False
54,2015,525000,63000,27.3,1498.0,98.6,200.0,5.0,True,False,False,False,False,True,False,False,False,False
55,2016,1650000,127700,11.36,2755.0,171.5,360.0,7.0,True,False,False,False,False,False,False,True,False,False
56,2016,950000,99000,12.99,2494.0,100.6,200.0,7.0,True,False,False,False,False,True,False,False,False,False
57,2013,1750000,33900,17.68,1968.0,174.33,380.0,5.0,True,False,False,False,False,False,False,True,False,False
58,2018,1590000,25000,14.28,1798.0,138.03,173.0,5.0,False,False,True,False,False,False,False,False,False,False
59,2013,1689999,50000,18.53,1968.0,187.74,400.0,5.0,True,False,False,False,False,False,False,False,False,False
60,2013,1425000,59000,14.84,2143.0,170.0,400.0,5.0,True,False,False,False,False,False,False,False,False,False
61,2011,265000,120000,21.12,1248.0,88.8,200.0,5.0,True,False,False,True,False,True,False,False,False,False
62,2011,190000,110000,20.36,1197.0,78.9,111.7,5.0,False,False,True,True,False,True,False,False,False,True
